age,job,marital,loan++month,campaign
40,admin.,married,no++jul,4
46,admin.,divorced,no++may,1
31,blue-collar,single,no++jun,7
57,self-employed,married,yes++may,1
36,admin.,married,no++may,3
50,technician,married,NULL++nov,2
32,admin.,single,yes++apr,1
38,admin.,single,no++jul,2
50,admin.,married,NULL++may,1
42,blue-collar,married,no++jun,2
31,technician,married,no++aug,2
27,unemployed,single,no++jul,1
44,self-employed,divorced,no++jun,1
26,housemaid,single,yes++jul,1
30,blue-collar,single,no++may,1
39,self-employed,single,no++nov,1
64,retired,married,no++aug,4
36,management,married,NULL++sep,1
42,blue-collar,married,no++may,4
42,services,single,no++may,2
40,admin.,divorced,no++jul,3
34,services,married,yes++may,2
31,blue-collar,married,yes++may,2
49,admin.,single,no++may,3
35,unemployed,divorced,no++jul,7
60,admin.,married,yes++may,2
38,admin.,divorced,no++nov,1
32,management,married,no++may,1
50,self-employed,married,yes++may,6
41,admin.,married,no++apr,6
45,admin.,married,no++may,2
46,blue-collar,married,yes++jun,2
55,NULL,married,no++may,1
33,technician,divorced,no++may,1
45,blue-collar,married,no++may,1
29,blue-collar,married,no++may,1
42,technician,married,no++jul,2
39,housemaid,married,no++may,2
58,blue-collar,married,no++jul,4
32,management,divorced,no++jul,4
44,technician,divorced,no++apr,3
49,self-employed,married,no++may,2
29,blue-collar,married,no++may,4
51,management,married,no++jun,17
36,admin.,married,no++aug,8
23,management,single,no++apr,1
31,management,single,no++aug,1
32,technician,married,no++jul,2
58,self-employed,divorced,no++jun,1
31,services,single,no++jul,20
32,blue-collar,married,no++may,2
43,unemployed,married,no++aug,4
48,admin.,divorced,no++may,3
28,admin.,single,no++jul,2
52,services,NULL,no++jun,2
36,management,married,no++jun,1
39,admin.,divorced,yes++apr,2
39,blue-collar,married,no++jul,5
50,management,married,no++oct,1
29,admin.,single,no++nov,1
49,technician,divorced,no++may,3
36,blue-collar,married,no++nov,1
29,blue-collar,married,no++may,6
27,entrepreneur,single,no++jun,3
31,blue-collar,married,no++jul,1
43,management,single,no++nov,1
32,blue-collar,married,no++nov,4
45,blue-collar,married,no++aug,2
56,blue-collar,married,no++jun,2
38,admin.,married,NULL++may,16
35,blue-collar,married,no++may,1
30,admin.,single,no++aug,1
46,management,married,no++apr,1
43,blue-collar,married,no++may,4
38,technician,married,no++may,2
52,retired,married,no++nov,2
30,technician,NULL,no++oct,2
31,unemployed,married,no++nov,2
31,blue-collar,single,no++may,1
24,technician,single,no++may,1
34,admin.,single,no++jul,2
48,admin.,married,no++aug,1
30,admin.,married,no++aug,1
23,blue-collar,single,no++jul,4
20,entrepreneur,single,no++may,3
43,admin.,divorced,no++jul,3
26,services,single,no++may,2
58,unemployed,single,no++jun,6
26,admin.,single,no++may,5
35,admin.,married,no++may,14
35,admin.,married,no++jul,3
59,admin.,divorced,no++aug,1
54,blue-collar,married,no++may,1
37,blue-collar,divorced,no++jul,2
46,technician,divorced,no++jun,2
52,services,married,no++jul,6
52,management,married,no++nov,1
32,student,single,no++may,1
33,services,married,no++may,4
33,technician,divorced,no++may,1
42,technician,single,no++may,2
38,blue-collar,divorced,no++may,2
43,blue-collar,married,no++may,1
49,admin.,divorced,no++may,1
30,blue-collar,married,NULL++may,3
37,technician,married,no++apr,2
47,blue-collar,married,no++jul,2
32,blue-collar,married,no++nov,8
32,unemployed,married,no++jul,2
35,services,divorced,no++may,1
36,management,divorced,NULL++may,1
41,blue-collar,married,no++may,2
48,blue-collar,married,no++aug,2
43,technician,married,no++jul,7
57,technician,married,no++may,2
28,entrepreneur,married,no++apr,2
30,services,single,no++jul,18
27,student,single,no++may,2
44,blue-collar,married,no++may,1
43,services,married,no++jun,17
28,technician,married,no++may,1
34,blue-collar,married,no++may,1
32,services,married,no++jul,2
30,admin.,single,no++aug,10
45,admin.,divorced,no++jul,1
49,blue-collar,married,no++may,1
45,blue-collar,married,no++may,5
56,technician,married,no++may,2
48,admin.,single,no++aug,1
42,unemployed,married,no++nov,2
51,management,married,yes++jun,2
54,blue-collar,married,no++jun,2
40,admin.,married,no++aug,2
47,blue-collar,single,no++may,1
29,technician,single,no++aug,6
37,admin.,married,yes++jun,2
35,technician,married,no++may,1
54,technician,married,no++nov,2
45,NULL,married,no++may,1
35,admin.,single,no++jul,2
37,blue-collar,married,no++may,1
38,management,married,no++may,1
33,blue-collar,married,no++may,2
31,blue-collar,divorced,no++jun,2
34,admin.,married,no++may,1
51,blue-collar,divorced,no++may,2
38,blue-collar,married,no++may,1
25,admin.,single,no++jul,3
35,technician,single,no++aug,6
55,self-employed,married,no++may,2
37,admin.,married,no++may,1
31,technician,married,no++aug,3
36,services,married,NULL++may,4
59,retired,married,yes++may,1
37,blue-collar,married,no++oct,1
74,retired,divorced,yes++dec,6
44,technician,divorced,yes++may,2
29,technician,single,no++aug,3
32,services,married,yes++nov,1
45,services,divorced,no++apr,1
49,blue-collar,married,no++jun,4
25,services,single,no++jul,4
34,blue-collar,divorced,no++jul,2
37,technician,single,no++aug,1
48,technician,single,no++aug,2
52,services,married,no++aug,2
30,technician,single,no++aug,3
57,retired,married,no++aug,4
38,blue-collar,married,no++nov,2
31,blue-collar,single,no++nov,1
40,technician,married,no++jun,2
38,services,married,yes++may,1
33,management,single,no++may,1
28,admin.,single,no++sep,2
33,technician,married,no++aug,2
58,retired,married,no++jul,1
30,self-employed,married,no++may,5
42,self-employed,married,no++may,1
35,technician,divorced,no++nov,1
41,housemaid,married,no++jul,4
31,self-employed,single,no++nov,1
40,admin.,married,no++may,1
80,retired,married,no++oct,1
47,blue-collar,married,no++apr,2
39,housemaid,married,no++jul,4
30,technician,married,no++aug,2
33,blue-collar,married,no++may,1
50,management,married,no++may,1
33,blue-collar,married,no++may,1
40,technician,married,yes++jul,1
40,retired,married,no++jul,2
30,blue-collar,married,no++jun,1
23,management,single,no++jul,1
28,blue-collar,married,no++may,2
41,self-employed,married,no++may,3
26,student,single,no++aug,1
45,admin.,married,no++aug,1
28,admin.,single,no++oct,1
32,technician,married,no++aug,1
32,management,single,no++aug,1
56,entrepreneur,divorced,yes++jun,1
45,admin.,divorced,no++nov,9
29,technician,divorced,no++jun,19
33,technician,married,no++may,1
37,blue-collar,married,no++jun,7
51,technician,married,no++nov,1
32,blue-collar,married,NULL++jun,5
36,blue-collar,married,no++may,1
36,blue-collar,married,no++jun,1
32,technician,married,no++jun,2
51,technician,married,yes++jun,1
25,blue-collar,married,no++jun,1
39,entrepreneur,married,no++sep,3
33,blue-collar,married,no++may,1
32,technician,single,no++jul,2
35,blue-collar,married,no++may,1
41,technician,divorced,NULL++oct,1
44,admin.,married,no++may,1
34,management,married,no++apr,1
27,services,single,no++may,1
51,blue-collar,married,no++jul,1
42,admin.,married,no++may,4
61,blue-collar,married,no++oct,1
48,unemployed,married,no++sep,2
54,entrepreneur,married,no++nov,2
35,admin.,single,yes++may,1
48,blue-collar,married,no++aug,2
23,technician,single,no++jul,2
33,blue-collar,married,no++may,1
30,admin.,married,no++aug,1
25,blue-collar,single,yes++may,3
44,technician,single,no++may,6
29,technician,single,yes++jul,7
55,retired,married,no++aug,4
24,blue-collar,single,no++jul,1
61,admin.,married,no++apr,5
50,technician,married,no++may,3
37,self-employed,single,no++apr,2
33,housemaid,married,no++aug,1
48,unemployed,married,no++mar,2
57,retired,married,no++aug,6
33,management,divorced,no++jun,1
40,housemaid,divorced,no++jun,6
30,self-employed,single,no++aug,1
34,self-employed,married,no++oct,1
54,management,divorced,no++may,3
31,admin.,married,no++apr,1
31,technician,single,no++aug,1
53,unemployed,married,no++may,4
43,admin.,single,no++apr,4
36,blue-collar,married,no++may,1
47,admin.,divorced,no++aug,4
30,technician,married,yes++jul,4
31,self-employed,married,yes++nov,1
37,services,single,no++may,1
27,blue-collar,single,no++jul,1
46,admin.,married,no++jun,2
41,technician,married,no++may,1
44,blue-collar,married,no++jun,4
33,admin.,married,no++may,2
58,blue-collar,divorced,no++aug,1
34,self-employed,married,no++nov,5
60,admin.,single,yes++may,2
29,blue-collar,married,yes++nov,1
26,admin.,single,no++jun,1
31,services,single,no++may,2
36,services,married,no++nov,3
59,blue-collar,married,no++jul,2
61,retired,married,no++apr,1
30,technician,married,no++aug,1
40,retired,married,no++may,1
48,technician,married,no++may,1
47,services,single,no++jul,1
32,technician,married,no++aug,1
31,admin.,married,no++aug,1
33,blue-collar,married,no++may,4
30,services,single,no++may,2
49,management,married,no++apr,1
53,self-employed,married,no++nov,4
33,admin.,married,no++may,1
46,services,married,no++may,1
45,admin.,married,no++may,1
31,technician,single,no++may,7
28,blue-collar,single,no++may,3
29,admin.,single,yes++nov,1
26,blue-collar,single,no++jul,3
20,student,single,no++apr,4
42,services,married,yes++may,2
31,blue-collar,married,no++nov,1
56,entrepreneur,married,yes++jul,1
43,housemaid,divorced,yes++aug,5
44,management,married,yes++jul,1
30,admin.,married,no++jul,2
31,admin.,single,no++sep,3
53,entrepreneur,divorced,no++nov,1
50,retired,married,no++may,4
37,unemployed,married,NULL++may,1
43,blue-collar,married,no++may,6
45,admin.,married,no++jun,2
29,admin.,divorced,no++jun,3
53,services,married,no++may,1
34,technician,married,no++apr,6
72,retired,married,no++nov,1
25,admin.,single,no++apr,2
46,admin.,married,no++jun,4
39,admin.,single,no++jul,6
57,management,married,yes++nov,1
24,admin.,single,yes++jun,1
40,blue-collar,married,no++jun,1
45,services,married,no++may,2
33,entrepreneur,married,no++may,3
34,blue-collar,married,no++jun,29
24,admin.,single,no++jul,1
55,entrepreneur,divorced,no++dec,7
54,blue-collar,married,no++jul,1
32,technician,single,no++aug,1
27,student,single,no++mar,1
45,management,married,yes++may,3
47,services,divorced,no++jul,1
29,services,married,no++may,2
42,admin.,single,yes++jul,1
28,student,single,no++apr,3
27,self-employed,single,no++may,2
45,admin.,divorced,no++may,2
45,entrepreneur,married,no++nov,5
33,management,single,no++may,2
36,technician,married,no++jul,2
34,technician,single,no++jul,2
30,technician,single,no++aug,1
33,blue-collar,married,no++jul,2
56,blue-collar,married,no++jun,4
58,blue-collar,married,no++jun,1
52,admin.,married,no++nov,2
52,housemaid,married,no++jul,2
36,admin.,divorced,yes++jul,1
36,admin.,single,yes++nov,1
53,blue-collar,married,no++aug,1
52,housemaid,married,no++aug,2
47,technician,married,no++may,1
37,self-employed,divorced,no++may,1
25,blue-collar,single,no++may,1
32,blue-collar,married,no++jul,1
34,admin.,single,no++may,4
39,admin.,married,no++jun,2
52,technician,married,yes++nov,2
48,admin.,single,no++jun,1
48,entrepreneur,married,no++jul,7
