id,owner_id,name,breed,petType,imageUrl,dob,gender,sex,created,updated,status,timezone
69,NULL,Grace,DSH,Cat,NULL,2011-01-15 00:00:00,1,Spayed Female,2014-01-15 16:15:04,NULL,3,NULL
70,483,Bob,Mixed,Dog,//s3.amazonaws.com/petpace.images.pet/364486c3cc15cc3a7958269516e0f55e,2009-07-16 00:00:00,1,Neutered Male,2014-01-16 09:13:55,2015-01-19 18:15:30,3,NULL
71,NULL,Mitzi,DSH,Cat,NULL,2013-01-20 00:00:00,1,Spayed Female,2014-01-20 08:34:06,NULL,3,NULL
72,NULL,Netanya,DSH,Cat,NULL,2008-01-20 00:00:00,1,Spayed Female,2014-01-20 16:58:22,NULL,3,NULL
73,NULL,Tavor,DSH,Cat,NULL,2013-07-22 00:00:00,1,Neutered Male,2014-01-22 08:39:25,NULL,3,NULL
80,NULL,Tut,Shih Tzu,Dog,//s3.amazonaws.com/petpace.images.pet/84326fb07cc93bd464fc0cfeeef08e5,2009-01-23 00:00:00,1,Intact Female,2014-01-23 09:50:45,2014-05-20 13:37:23,3,NULL
83,NULL,Bouli,Mixed,Dog,//s3.amazonaws.com/petpace.images.pet/4eb49c65146532b1ef3aa6faa743cf8d,2012-01-30 00:00:00,1,Neutered Male,2014-01-30 10:59:22,2014-05-18 21:10:28,3,NULL
84,NULL,Felix,DSH,Cat,NULL,2013-02-02 00:00:00,1,Neutered Male,2014-02-02 13:05:56,NULL,3,NULL
86,7,Kiki,Australian Shepherd,Dog,NULL,2006-12-17 00:00:00,1,Spayed Female,2014-02-07 21:13:51,NULL,3,NULL
88,NULL,Ketza'le,DSH,Cat,NULL,2013-11-10 00:00:00,1,Neutered Male,2014-02-10 13:42:23,NULL,3,NULL
105,8,Belle,English Setter,Dog,NULL,2010-08-01 00:00:00,0,Spayed Female,2014-02-12 07:04:37,NULL,3,NULL
106,9,Bea,Jack Russell Terrier,Dog,NULL,2002-05-04 00:00:00,0,Spayed Female,2014-02-12 07:10:29,NULL,3,NULL
107,10,Bo,Jack Russell Terrier,Dog,NULL,2003-02-20 00:00:00,1,Neutered Male,2014-02-12 07:20:04,NULL,3,NULL
110,NULL,Kunefa,mixed,Dog,NULL,2007-02-13 00:00:00,0,Spayed Female,2014-02-13 11:42:26,NULL,5,NULL
111,NULL,Kunefa,Mixed,Dog,NULL,2007-02-13 00:00:00,0,Spayed Female,2014-02-13 12:25:50,NULL,3,NULL
112,481,bingo,mixed,Dog,//s3.amazonaws.com/petpace.images.pet/e30f14b1a3803c002ebf391215b9b33a,2013-12-18 00:00:00,0,Intact Female,2014-02-18 10:29:13,2015-01-19 18:12:58,3,NULL
113,1936,Goldi,mixed,Dog,//s3.amazonaws.com/petpace.images.pet/9bbb4f5180fd9c8737e1af8f2aad71b2,2013-02-18 00:00:00,0,Spayed Female,2014-02-18 11:50:08,2015-07-28 08:54:07,3,NULL
115,NULL,Levinski,DSH,Cat,NULL,2013-11-25 00:00:00,0,Intact Female,2014-02-25 14:13:11,NULL,3,NULL
116,NULL,Goliat,DSH,Cat,NULL,2010-02-25 00:00:00,1,Neutered Male,2014-02-25 14:18:31,NULL,3,NULL
117,NULL,tese-1,Office,Cat,NULL,2014-03-05 00:00:00,1,Neutered Male,2014-03-06 10:28:47,NULL,5,NULL
122,11,3wpjh3fp,nwnwhfl,Dog,NULL,2010-03-10 00:00:00,0,Intact Female,2014-03-10 10:13:34,NULL,5,NULL
124,13,ephjg,off,Dog,NULL,2014-03-10 00:00:00,1,Intact Male,2014-03-10 10:30:47,NULL,5,NULL
125,14,Maddox Pena,Wire Fox Terrier,Dog,NULL,2005-08-29 00:00:00,1,Neutered Male,2014-03-13 12:57:19,NULL,5,NULL
126,15,Freckles Tomko,Beagle,Dog,NULL,2008-08-23 00:00:00,1,Neutered Male,2014-03-13 16:19:20,NULL,5,NULL
128,NULL,lblbgl,lihl,Dog,NULL,2014-03-13 00:00:00,1,Intact Male,2014-03-13 19:54:28,NULL,5,NULL
129,16,Maddox,Wire Fox Terrier,Dog,NULL,2005-08-28 00:00:00,1,Neutered Male,2014-03-13 20:19:23,2014-10-03 14:02:12,3,NULL
130,17,Freckles T,Beagle,Dog,NULL,2008-08-22 00:00:00,1,Neutered Male,2014-03-14 00:29:53,2014-10-03 14:11:13,3,NULL
134,NULL,Lola Stefko,Maltese,Dog,NULL,2013-03-20 00:00:00,0,Spayed Female,2014-03-21 19:06:55,2014-10-03 13:56:52,3,NULL
148,NULL,Max Breeding,American Bulldog,Dog,NULL,2008-02-10 00:00:00,1,Neutered Male,2014-03-25 15:48:42,2014-10-03 16:55:44,3,NULL
149,NULL,Lacey Hodges,West Highland White Terrier,Dog,NULL,2000-03-13 00:00:00,0,Spayed Female,2014-03-25 16:36:48,2014-10-03 16:53:31,3,NULL
150,NULL,Picachu Lizotte,Shiba Inu,Dog,NULL,2000-06-10 00:00:00,1,Neutered Male,2014-03-25 17:15:17,2014-10-03 16:57:33,3,NULL
151,NULL,Logan Kelleher,Beagle,Dog,NULL,2000-03-24 00:00:00,1,Neutered Male,2014-03-25 17:43:01,2014-10-03 14:01:56,3,NULL
162,18,Layla Jenkins,American Pit Bull Terrier Mixed,Dog,NULL,2006-11-05 00:00:00,1,Spayed Female,2014-03-27 16:11:03,2014-10-03 16:53:48,3,NULL
164,19,Dexter Thomson,Vizsla,Dog,NULL,2008-03-13 00:00:00,1,Neutered Male,2014-04-01 14:28:07,2014-10-03 14:10:55,3,NULL
165,20,Maverick Glaser,Yorkshire Terrier,Dog,NULL,2005-01-06 00:00:00,1,Neutered Male,2014-04-02 13:28:49,2014-10-03 16:55:20,3,NULL
166,21,Harley Hackworth,American Pit Bull Terrier,Dog,NULL,2003-08-27 00:00:00,1,1,2014-04-02 14:35:23,2014-10-03 16:50:40,3,NULL
169,22,Beau Evans,Bichon Frise,Dog,NULL,2002-09-28 00:00:00,1,Neutered Male,2014-04-03 19:59:35,2014-10-01 15:43:40,3,NULL
173,NULL,Daisy,mixed,Dog,NULL,2006-08-11 00:00:00,0,Spayed Female,2014-04-07 18:55:51,2015-01-26 17:14:43,3,NULL
174,NULL,Bruno,German Shepherd Dog,Dog,NULL,2010-04-07 00:00:00,1,Neutered Male,2014-04-07 19:04:42,2015-01-26 17:07:59,3,NULL
177,23,Little Lady Maynor,Chihuahua Mixed,Dog,NULL,2008-10-18 00:00:00,0,Spayed Female,2014-04-08 15:30:55,2014-10-03 14:02:29,3,NULL
180,NULL,Brooklyn,Cavalier King Charles Spaniel,Dog,NULL,2010-10-28 00:00:00,1,Neutered Male,2014-04-09 17:05:18,2015-01-26 17:06:55,3,NULL
182,NULL,Scooter,American Cocker Spaniel Mixed,Dog,NULL,2003-08-09 00:00:00,1,Neutered Male,2014-04-10 18:54:34,2015-01-27 17:13:20,3,NULL
183,NULL,Wally,St Bernard,Dog,NULL,2010-04-10 00:00:00,1,Intact Male,2014-04-10 20:13:24,NULL,5,NULL
185,NULL,Lilo,min schnauzer,Dog,NULL,2007-04-10 00:00:00,0,Spayed Female,2014-04-10 20:32:56,NULL,5,NULL
187,24,Critter,Bull Terrier,Dog,NULL,2006-02-14 00:00:00,0,Spayed Female,2014-04-11 18:30:13,NULL,3,NULL
188,NULL,chico,Poodle,Dog,NULL,2000-04-11 00:00:00,1,Intact Male,2014-04-11 21:37:08,NULL,3,NULL
189,NULL,Cherry Pie,Labrador Retriever,Dog,NULL,2011-04-11 00:00:00,1,Intact Male,2014-04-11 21:39:20,NULL,3,NULL
190,NULL,Cherry Pie,Labrador Retriever,Dog,NULL,2011-04-11 00:00:00,0,Spayed Female,2014-04-11 22:13:38,NULL,3,NULL
191,NULL,fluffy,lab,Dog,NULL,2011-04-11 00:00:00,1,Intact Male,2014-04-11 22:45:14,NULL,5,NULL
192,NULL,fluffy,lab,Dog,NULL,2011-04-11 00:00:00,1,Intact Male,2014-04-11 22:45:31,NULL,5,NULL
193,NULL,Tico,Pomeranian,Dog,NULL,2005-04-11 00:00:00,1,Intact Male,2014-04-12 01:18:47,NULL,3,NULL
194,NULL,sasha,DSH,Cat,NULL,2005-04-11 00:00:00,1,Neutered Male,2014-04-12 03:16:50,NULL,5,NULL
195,NULL,Molly Mouse,Miniature Pinscher,Dog,NULL,2002-12-23 00:00:00,0,Spayed Female,2014-04-12 03:24:53,NULL,3,NULL
196,NULL,Molly Mouse,Min Pin,Dog,NULL,2014-04-12 00:00:00,0,Spayed Female,2014-04-12 03:32:05,NULL,5,NULL
197,NULL,Stella,Perro de Presa Canario,Dog,NULL,NULL,0,Spayed Female,2014-04-12 17:09:33,NULL,3,NULL
198,NULL,Guyot,Miniature Schnauzer,Dog,NULL,NULL,1,Neutered Male,2014-04-12 17:14:38,NULL,3,NULL
199,NULL,Aspen,Labrador Retriever,Dog,NULL,NULL,0,Spayed Female,2014-04-12 17:15:40,NULL,3,NULL
200,25,Theo,Boston Terrier,Dog,NULL,2009-04-14 00:00:00,1,Intact Male,2014-04-14 01:38:55,NULL,3,NULL
201,NULL,Scotty,Standard Schnauzer,Dog,NULL,2006-12-19 00:00:00,1,Neutered Male,2014-04-14 14:37:14,NULL,3,NULL
202,26,Lowell,Cavalier King Charles Spaniel,Dog,NULL,NULL,1,Neutered Male,2014-04-14 15:59:07,NULL,3,NULL
205,NULL,ughi,fuyf,Dog,NULL,2012-04-14 00:00:00,1,Intact Male,2014-04-14 17:19:05,NULL,5,NULL
206,NULL,Syda,Mixed,Dog,NULL,2003-07-02 00:00:00,1,Neutered Male,2014-04-14 17:40:28,2015-01-27 17:16:53,3,NULL
208,NULL,zena,Chihuahua,Dog,NULL,2005-04-01 00:00:00,0,Spayed Female,2014-04-14 20:27:02,NULL,3,NULL
209,NULL,Lucas,Golden Retriever,Dog,NULL,2005-04-19 00:00:00,1,Neutered Male,2014-04-14 22:01:59,NULL,3,NULL
210,NULL,Molly Mouse,Miniature Pinscher,Dog,NULL,2002-12-23 00:00:00,0,Spayed Female,2014-04-15 03:39:28,NULL,3,NULL
211,NULL,crystal,Chihuahua,Dog,NULL,2006-04-15 00:00:00,0,Intact Female,2014-04-15 11:48:04,NULL,3,NULL
212,NULL,charly,Cavalier King Charles Spaniel,Dog,NULL,2013-03-06 00:00:00,0,Intact Female,2014-04-15 12:27:43,NULL,3,NULL
215,NULL,Kirby Mau,Labrador Retriever,Dog,NULL,2007-04-14 00:00:00,1,Intact Male,2014-04-15 15:52:45,2014-10-03 13:56:38,3,NULL
216,NULL,Rosie Lansley,Pomeranian,Dog,NULL,1999-04-14 00:00:00,0,Spayed Female,2014-04-15 16:22:25,2014-10-03 13:58:07,3,NULL
217,NULL,LEO,Poodle,Dog,NULL,2013-09-25 00:00:00,1,Intact Male,2014-04-16 11:32:29,NULL,3,NULL
218,NULL,Emma,mix,Dog,NULL,2010-04-16 00:00:00,0,Spayed Female,2014-04-16 17:14:44,NULL,3,NULL
221,NULL,Max,Rhodesian Mix,Dog,NULL,2008-04-11 00:00:00,1,Neutered Male,2014-04-17 14:11:43,NULL,5,NULL
222,NULL,Max,Rhodesian Mix,Dog,NULL,2014-04-17 00:00:00,1,Neutered Male,2014-04-17 14:12:18,NULL,5,NULL
223,NULL,Chloe,maltese,Dog,NULL,2006-04-17 00:00:00,0,Spayed Female,2014-04-17 14:31:08,NULL,5,NULL
224,NULL,Nala,chow,Dog,NULL,2004-04-17 00:00:00,0,Spayed Female,2014-04-17 15:06:41,NULL,5,NULL
225,NULL,Charlie Long,Great Pyrenees Mixed,Dog,NULL,2010-01-05 00:00:00,1,Intact Male,2014-04-17 15:25:50,NULL,3,NULL
226,NULL,Alphie,Maltese,Dog,NULL,2006-04-17 00:00:00,1,Neutered Male,2014-04-17 18:48:08,NULL,3,NULL
227,27,Jazz French,Havanese,Dog,NULL,2001-12-10 00:00:00,0,Intact Male,2014-04-17 20:11:05,2015-02-24 11:49:36,3,NULL
228,NULL,nala,Labrador Retriever Mixed,Dog,NULL,2001-08-15 00:00:00,0,Spayed Female,2014-04-18 17:35:39,NULL,3,NULL
229,NULL,Daccota,Labrador Retriever,Dog,NULL,2010-04-18 00:00:00,0,Intact Female,2014-04-19 11:38:43,NULL,3,NULL
230,NULL,Birdie,Papillon Mixed,Dog,NULL,2011-04-19 00:00:00,0,Spayed Female,2014-04-19 20:33:16,NULL,3,NULL
231,204,Charlie,Pug,Dog,//s3.amazonaws.com/petpace.image.dev/09da15c10c96e887dece404c052d79c2.jpg,2007-10-30 00:00:00,1,Neutered Male,2014-04-20 20:48:39,2015-02-05 15:36:52,5,NULL
232,NULL,MOLLY,MIX,Dog,NULL,1998-12-01 00:00:00,0,Intact Female,2014-04-21 13:53:38,NULL,3,NULL
233,NULL,Zoie,dog,Dog,NULL,2014-04-22 00:00:00,1,Intact Male,2014-04-22 09:47:30,NULL,3,NULL
234,NULL,brooke,mix,Dog,NULL,2013-03-03 00:00:00,0,Intact Female,2014-04-22 12:01:48,NULL,3,NULL
235,NULL,EMMI MAY FULLER 25327,American Pit Bull Terrier,Dog,NULL,2013-11-24 00:00:00,0,Intact Female,2014-04-22 12:41:52,NULL,3,NULL
236,28,Renzo Hamilton,Whippet,Dog,NULL,2001-08-15 00:00:00,1,Intact Male,2014-04-22 17:21:43,2014-10-03 13:40:09,3,NULL
237,NULL,Ziggy,leevell*,Dog,NULL,2014-04-22 00:00:00,1,Neutered Male,2014-04-22 18:04:06,NULL,3,NULL
238,NULL,Zack,Dachshund,Dog,NULL,2014-04-22 00:00:00,1,Neutered Male,2014-04-22 18:04:46,NULL,3,NULL
239,NULL,Maggie,Maltese,Dog,NULL,2014-04-22 00:00:00,0,Spayed Female,2014-04-22 18:06:13,NULL,3,NULL
240,29,Timber,Australian Shepherd Mixed,Dog,NULL,2003-11-14 00:00:00,0,Spayed Female,2014-04-22 18:30:04,NULL,3,NULL
241,NULL,Peyton Eleyet,American Pit Bull Terrier Mixed,Dog,NULL,2013-11-02 00:00:00,0,Intact Female,2014-04-22 21:49:42,NULL,3,NULL
242,30,Farah,Mixed,Dog,NULL,2012-04-23 00:00:00,0,Intact Female,2014-04-23 12:52:10,NULL,3,NULL
243,31,Brynne,Plott Hound,Dog,NULL,2012-10-23 00:00:00,0,Intact Female,2014-04-23 13:02:50,NULL,3,NULL
244,32,Jewels,Chihuahua,Dog,NULL,2012-04-23 00:00:00,0,Intact Female,2014-04-23 13:39:20,NULL,3,NULL
245,NULL,SHY GIRL,PIT,Dog,NULL,2014-04-23 00:00:00,1,Intact Male,2014-04-23 15:37:37,NULL,5,NULL
246,NULL,SHY GIRL,American Pit Bull Terrier,Dog,NULL,2010-04-23 00:00:00,0,Spayed Female,2014-04-23 15:38:09,NULL,3,NULL
247,NULL,HEIDI,mix,Dog,NULL,2006-01-01 00:00:00,1,Neutered Male,2014-04-23 15:41:55,NULL,3,NULL
248,NULL,LADY SPING DOG,American Cocker Spaniel,Dog,NULL,2011-04-23 00:00:00,0,Intact Female,2014-04-23 15:50:11,NULL,3,NULL
249,33,Carly,Golden Retriever,Dog,NULL,2009-09-12 00:00:00,0,Spayed Female,2014-04-23 18:31:04,NULL,3,NULL
250,NULL,Blue Atkinson,Siberian Husky,Dog,NULL,2009-07-14 00:00:00,1,Neutered Male,2014-04-24 14:18:23,NULL,3,NULL
251,34,Rascal Lemon,Pomeranian,Dog,NULL,2005-05-31 00:00:00,1,Neutered Male,2014-04-24 17:50:53,2014-10-03 13:39:55,3,NULL
252,35,Buddy Lipply,Cavalier King Charles Spaniel,Dog,NULL,2008-04-20 00:00:00,1,Intact Male,2014-04-24 21:02:34,2014-10-03 13:33:45,3,NULL
253,36,Kucia,Himalayan,Cat,NULL,2014-04-25 00:00:00,1,Neutered Male,2014-04-25 00:57:02,NULL,3,NULL
254,NULL,Pinpi,Chihuahua,Dog,NULL,2004-04-26 00:00:00,0,Spayed Female,2014-04-26 02:59:50,NULL,3,NULL
255,37,Stone,Labrador Retriever,Dog,NULL,2013-01-26 00:00:00,1,Neutered Male,2014-04-26 15:38:13,NULL,3,NULL
256,NULL,Xato,German Shepherd Dog,Dog,NULL,2003-06-25 00:00:00,1,Intact Male,2014-04-27 01:46:43,NULL,3,NULL
257,NULL,Charlie,Terrier Mix,Dog,NULL,2014-04-27 00:00:00,1,Intact Male,2014-04-27 02:47:24,NULL,3,NULL
258,NULL,Caramel,Chihuahua,Dog,NULL,2012-04-26 00:00:00,1,Intact Male,2014-04-27 02:55:58,NULL,3,NULL
259,38,Pepi,Chihuahua,Dog,NULL,1994-07-02 00:00:00,1,Intact Male,2014-04-27 06:48:23,NULL,3,NULL
260,NULL,Kinu,Labrador Retriever,Dog,NULL,2005-04-28 00:00:00,0,Spayed Female,2014-04-28 07:56:49,NULL,3,NULL
261,39,Josie,Mixed,Dog,NULL,2007-04-23 00:00:00,0,Spayed Female,2014-04-29 12:30:51,NULL,3,NULL
262,40,Mojo,Mixed,Dog,NULL,2003-08-31 00:00:00,1,Neutered Male,2014-04-29 14:08:18,NULL,3,NULL
263,NULL,Tia,Border Collie,Dog,NULL,2000-05-01 00:00:00,0,Spayed Female,2014-04-29 18:02:53,2015-01-27 15:41:06,3,NULL
264,NULL,CHARLIE MAGNAN,Border Collie,Dog,NULL,2010-03-18 00:00:00,1,Neutered Male,2014-04-30 15:38:22,NULL,3,NULL
265,NULL,HANNAH KRAUS,Shih Tzu,Dog,NULL,2014-05-20 00:00:00,0,Spayed Female,2014-04-30 16:05:06,NULL,3,NULL
268,NULL,MINI RHOADES,Pekingese,Dog,NULL,2004-06-04 00:00:00,0,Spayed Female,2014-05-02 11:30:05,NULL,3,NULL
269,NULL,Mickey,Mixed Breed,Dog,NULL,2007-05-17 00:00:00,1,Intact Male,2014-05-02 14:12:19,NULL,3,NULL
270,NULL,Bella,English Springer Spaniel,Dog,NULL,2013-12-02 00:00:00,0,Intact Female,2014-05-02 14:52:18,NULL,3,NULL
271,41,Kerbi,Cavapoo,Dog,NULL,2013-12-03 00:00:00,1,Intact Male,2014-05-03 17:35:14,NULL,3,NULL
272,42,JJ,DSH,Cat,NULL,2005-05-28 00:00:00,1,Neutered Male,2014-05-06 11:39:48,NULL,3,NULL
273,NULL,MIA,Pug,Dog,NULL,2000-05-05 00:00:00,0,Spayed Female,2014-05-06 15:00:10,NULL,3,NULL
274,NULL,ZAIRY,Chihuahua,Dog,NULL,2008-05-06 00:00:00,0,Spayed Female,2014-05-06 15:03:50,NULL,3,NULL
277,NULL,Pepe,Saluki,Dog,NULL,2008-10-24 00:00:00,1,Intact Male,2014-05-07 22:17:15,NULL,3,NULL
278,NULL,Hank,Lab/Hound,Dog,NULL,2007-01-21 00:00:00,1,Neutered Male,2014-05-07 23:46:55,NULL,5,NULL
279,NULL,Hank,Labrador Retriever Mixed,Dog,NULL,2007-01-21 00:00:00,1,Neutered Male,2014-05-07 23:47:33,NULL,3,NULL
280,NULL,Sterling,Mix,Dog,//s3.amazonaws.com/petpace.image.dev/aff4fc25be4eaa65656ec5d715e95edf.jpg,2001-09-10 00:00:00,1,Neutered Male,2014-05-08 00:49:47,NULL,3,NULL
281,NULL,Sparky,Jack Russell Terrier,Dog,NULL,2008-05-08 00:00:00,0,Spayed Female,2014-05-08 11:55:07,NULL,3,NULL
282,NULL,Nia,American Pit Bull Terrier,Dog,NULL,2005-05-08 00:00:00,0,Spayed Female,2014-05-08 13:10:58,NULL,3,NULL
283,NULL,Nia,American Pit Bull Terrier,Dog,NULL,2005-05-08 00:00:00,0,Spayed Female,2014-05-08 13:14:04,NULL,3,NULL
284,NULL,Cooper,Golden Retriever,Dog,NULL,2004-12-09 00:00:00,1,Neutered Male,2014-05-09 07:50:17,NULL,5,NULL
285,43,Jetta,mix breed,Dog,NULL,2010-02-26 00:00:00,0,Spayed Female,2014-05-09 11:37:32,NULL,3,NULL
286,NULL,Leo,Mixed,Dog,NULL,2012-12-16 00:00:00,1,Neutered Male,2014-05-10 13:47:16,NULL,3,NULL
288,NULL,Bridger,Golden Retriever,Dog,NULL,2013-04-15 00:00:00,1,Intact Male,2014-05-11 22:06:26,NULL,3,NULL
291,NULL,Marilyn,Golden Retriever,Dog,NULL,2001-10-31 00:00:00,0,Spayed Female,2014-05-12 18:02:35,NULL,3,NULL
292,NULL,Bella Borror,Chihuahua,Dog,NULL,2009-12-26 00:00:00,0,Intact Female,2014-05-13 11:24:12,NULL,3,NULL
295,NULL,Shiloh,Mixed,Dog,NULL,2012-05-13 00:00:00,0,Intact Female,2014-05-13 12:38:27,NULL,3,NULL
296,NULL,Yukon,mix,Dog,NULL,2012-05-13 00:00:00,1,Intact Male,2014-05-13 12:40:06,NULL,3,NULL
297,NULL,Harlem,American Pit Bull Terrier,Dog,NULL,2007-05-03 00:00:00,1,Neutered Male,2014-05-13 12:41:51,NULL,3,NULL
298,49,Cooper,golden retreiver,Dog,NULL,2005-10-28 00:00:00,1,Neutered Male,2014-05-13 14:41:45,NULL,5,NULL
299,50,Rocco Miele,Boxer,Dog,NULL,2007-09-15 00:00:00,1,Neutered Male,2014-05-13 18:13:16,2014-10-03 16:58:48,3,NULL
300,51,Zappa Kopco,Golden Retriever,Dog,NULL,2004-07-30 00:00:00,1,Neutered Male,2014-05-13 20:36:44,NULL,5,NULL
301,NULL,GINGER BORREL ELECTRIC,MIX,Dog,NULL,2005-09-01 00:00:00,0,Spayed Female,2014-05-14 12:48:37,NULL,3,NULL
302,NULL,Jeter,Dachshund,Dog,NULL,2004-08-08 00:00:00,1,Neutered Male,2014-05-14 12:56:47,NULL,3,NULL
303,NULL,Lilly,Mixed,Dog,NULL,2012-05-14 00:00:00,0,Intact Female,2014-05-14 13:13:53,NULL,3,NULL
304,NULL,Violetta,Rat Terrier,Dog,NULL,2012-09-20 00:00:00,0,Intact Female,2014-05-14 13:15:04,NULL,3,NULL
305,NULL,Sharon,DSH,Cat,NULL,2009-05-15 00:00:00,0,Spayed Female,2014-05-15 12:45:43,NULL,3,NULL
306,51,Zappa Kopco,Golden Retriever,Dog,//s3.amazonaws.com/petpace.images.pet/fac0a1d3548a516c0d421a7e95438de5.jpg,2004-07-29 00:00:00,1,Neutered Male,2014-05-15 13:48:46,2014-10-03 17:07:30,3,NULL
307,NULL,Shoshana,DSH,Cat,NULL,2011-05-15 00:00:00,0,Spayed Female,2014-05-15 13:59:34,NULL,3,NULL
308,58,Tally LeBlanc,Plott Hound,Dog,NULL,2001-06-17 00:00:00,0,Spayed Female,2014-05-15 16:26:10,2014-10-03 17:03:20,3,NULL
